Paket No,Uydu Statu,Hata Kodu, Tarih, Saat, Basinc1, Basinc2, Yukseklik1, Yukseklik2, Irtifa Farki, InisHizi, Sicaklik, PilGerilimi, GpsLatitude, GpsLongitude, GpsAltitude, Pitch, Roll, Yaw, Takim No, Tasiyici Inis Hizi
0 , 1 , 01010 , 19/08/2021,03/42/2 , 100 , 50 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 0 , 0 , 0 , 1412 , 3 , 0
1 , 2 , 01010 , 19/08/2021,03/42/2 , 105 , 100 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 5 , 5 , 5 , 1412 , 3 , 0
2 , 2 , 01010 , 19/08/2021,03/42/2 , 110 , 150 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 10 , 10 , 10 , 1412 , 3 , 0
3 , 2 , 01010 , 19/08/2021,03/42/2 , 115 , 200 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 15 , 15 , 15 , 1412 , 3 , 0
4 , 2 , 01010 , 19/08/2021,03/42/2 , 120 , 250 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 20 , 20 , 20 , 1412 , 3 , 0
5 , 2 , 01010 , 19/08/2021,03/42/2 , 125 , 300 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 25 , 25 , 25 , 1412 , 3 , 0
6 , 2 , 01010 , 19/08/2021,03/42/2 , 130 , 350 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 30 , 30 , 30 , 1412 , 3 , 0
7 , 2 , 01010 , 19/08/2021,03/42/2 , 135 , 400 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 35 , 35 , 35 , 1412 , 3 , 0
8 , 2 , 01010 , 19/08/2021,03/42/2 , 140 , 450 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 40 , 40 , 40 , 1412 , 3 , 0
9 , 2 , 01010 , 19/08/2021,03/42/2 , 145 , 500 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 45 , 45 , 45 , 1412 , 3 , 0
10 , 2 , 01010 , 19/08/2021,03/42/2 , 150 , 550 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 50 , 50 , 50 , 1412 , 3 , 0
11 , 2 , 01010 , 19/08/2021,03/42/2 , 155 , 600 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 55 , 55 , 55 , 1412 , 3 , 1
12 , 2 , 01010 , 19/08/2021,03/42/2 , 160 , 650 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 60 , 60 , 60 , 1412 , 3 , 1
13 , 2 , 01010 , 19/08/2021,03/42/2 , 165 , 700 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 65 , 65 , 65 , 1412 , 3 , 1
14 , 2 , 01010 , 19/08/2021,03/42/2 , 170 , 750 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 70 , 70 , 70 , 1412 , 3 , 1
15 , 2 , 01010 , 19/08/2021,03/42/2 , 175 , 800 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 75 , 75 , 75 , 1412 , 3 , 1
16 , 2 , 01010 , 19/08/2021,03/42/2 , 180 , 850 , 196 , 179 , 3 , 13 , 25.2 , 11.2 , 40.99227422261599 , 39.77443049509968 , 725.2 , 80 , 80 , 80 , 1412 , 3 , 1
